Colegios;Peso;;;
Colegio_1;63,3;;;
Colegio_1;65;;;
Colegio_1;69,6;;;
Colegio_1;73;;;
Colegio_1;71;;;
Colegio_1;64;;;
Colegio_1;65,8;;;
Colegio_1;55;;;
Colegio_1;74,1;;;
Colegio_1;73,2;;;
Colegio_1;74,3;;;
Colegio_1;70,4;;;
Colegio_1;71,5;;;
Colegio_1;59,3;;;
Colegio_1;64,7;;;
Colegio_1;70,5;;;
Colegio_1;56,8;;;
Colegio_1;70,3;;;
Colegio_1;62,4;;;
Colegio_1;72;;;
Colegio_1;68,5;;;
Colegio_1;72,8;;;
Colegio_2;60,8;;;
Colegio_2;54,4;;;
Colegio_2;66,7;;;
Colegio_2;67,8;;;
Colegio_2;66,1;;;
Colegio_2;55,1;;;
Colegio_2;68,4;;;
Colegio_2;61;;;
Colegio_2;55,6;;;
Colegio_2;61,4;;;
Colegio_2;60;;;
Colegio_2;59,7;;;
Colegio_2;59,8;;;
Colegio_2;66,5;;;
Colegio_2;71,2;;;
Colegio_2;71,15;;;
Colegio_2;65,4;;;
Colegio_2;60,9;;;
Colegio_2;64,5;;;
Colegio_2;62,4;;;
Colegio_2;60,2;;;
Colegio_2;68,2;;;
Colegio_3;58,2;;;
Colegio_3;59,6;;;
Colegio_3;68,3;;;
Colegio_3;69,2;;;
Colegio_3;60;;;
Colegio_3;57,7;;;
Colegio_3;67,4;;;
Colegio_3;64;;;
Colegio_3;56;;;
Colegio_3;79,2;;;
Colegio_3;66,4;;;
Colegio_3;78,4;;;
Colegio_3;62,4;;;
Colegio_3;68,7;;;
Colegio_3;60,6;;;
Colegio_3;65,2;;;
Colegio_3;60,5;;;
Colegio_3;63,6;;;
Colegio_3;71,5;;;
Colegio_3;66,2;;;
Colegio_3;68,5;;;
Colegio_3;63,5;;;
Colegio_4;68,9;;;
Colegio_4;69,3;;;
Colegio_4;58,25;;;
Colegio_4;73;;;
Colegio_4;67,65;;;
Colegio_4;52,5;;;
Colegio_4;71,65;;;
Colegio_4;85,9;;;
Colegio_4;60,9;;;
Colegio_4;66;;;
Colegio_4;62,1;;;
Colegio_4;73,4;;;
Colegio_4;65,3;;;
Colegio_4;51,8;;;
Colegio_4;82,6;;;
Colegio_4;64,2;;;
Colegio_4;70,2;;;
Colegio_4;67,5;;;
Colegio_4;71,4;;;
Colegio_4;79,4;;;
Colegio_4;60,3;;;
Colegio_4;68;;;
